Country,agricultural rate,armed forces size,birth rate,CO2 emissions,CPI,Fertility rate,forested area,gasoline price,gross primary education,gross tertiary deucation,infant mortality,life expectancy,maternal mortality ratio,minimum wage,health expenditure,physician ratio,labor force participation,tax revenue,total tax rate,unemployment rate,GDP per Capita,urban population rate,label
Hungary,0.584,40000.0,0.096,45537.0,121.64,0.0154,0.22899999999999998,1.18,1.008,0.485,3.6,75.8,12.0,2.62,0.29,3.41,0.5650000000000001,0.23,0.379,0.034,16475.741838979917,0.71643997322811,1
Iceland,0.187,0.0,0.12,2065.0,129.0,0.0171,0.005,1.69,1.004,0.718,1.5,82.7,4.0,0.01,0.17,4.08,0.75,0.233,0.319,0.028399999999999998,66944.82550863102,0.9385491249968864,1
India,0.604,3031000.0,0.1786,2407672.0,180.44,0.0222,0.23800000000000002,0.97,1.1300000000000001,0.281,29.9,69.4,145.0,0.3,0.6509999999999999,0.86,0.493,0.11199999999999999,0.49700000000000005,0.0536,1910.8358277376421,0.34471999988372515,0
Indonesia,0.315,676000.0,0.1807,563325.0,151.18,0.023100000000000002,0.499,0.63,1.064,0.363,21.1,71.5,177.0,0.48,0.483,0.43,0.675,0.102,0.30100000000000005,0.046900000000000004,4142.022784788127,0.5607236404348646,0
Iran,0.282,563000.0,0.18780000000000002,661710.0,550.93,0.021400000000000002,0.066,0.4,1.107,0.6809999999999999,12.4,76.5,16.0,1.58,0.397,1.58,0.44700000000000006,0.07400000000000001,0.44700000000000006,0.11380000000000001,5371.177207873912,0.7539100015382221,0
Iraq,0.214,209000.0,0.2908,190061.0,119.86,0.0367,0.019,0.61,1.087,0.162,22.5,70.5,79.0,1.24,0.765,0.71,0.43,0.02,0.308,0.1282,5955.109010370268,0.7067799890933003,0
Republic of Ireland,0.645,9000.0,0.125,37711.0,106.58,0.0175,0.11,1.37,1.0090000000000001,0.778,3.1,82.3,5.0,10.79,0.152,3.31,0.621,0.18300000000000002,0.261,0.0493,77629.9889911643,0.6257399288885374,1
Israel,0.24600000000000002,178000.0,0.20800000000000002,65166.0,108.15,0.0309,0.077,1.57,1.0490000000000002,0.634,3.0,82.8,3.0,7.58,0.244,4.62,0.64,0.231,0.253,0.0386,43641.39773585323,0.9250099963549203,1
Italy,0.43200000000000005,347000.0,0.073,320411.0,110.62,0.0129,0.318,1.61,1.0190000000000001,0.619,2.6,82.9,2.0,0.01,0.228,3.98,0.49600000000000005,0.24300000000000002,0.5910000000000001,0.0989,33189.56579886136,0.7073599994268409,1
Jamaica,0.41000000000000003,4000.0,0.161,8225.0,162.47,0.0198,0.309,1.11,0.91,0.271,12.4,74.4,80.0,1.33,0.237,1.31,0.66,0.268,0.35100000000000003,0.08,5582.263777613991,0.5598500006274847,0
Japan,0.12300000000000001,261000.0,0.07400000000000001,1135886.0,105.48,0.014199999999999999,0.685,1.06,0.988,0.632,1.8,84.2,5.0,6.77,0.131,2.41,0.617,0.11900000000000001,0.467,0.0229,40259.112030836484,0.9172586867766221,1
Jordan,0.12,116000.0,0.2198,25108.0,125.6,0.0276,0.011000000000000001,1.1,0.8150000000000001,0.344,13.9,74.4,46.0,1.49,0.251,2.32,0.39299999999999996,0.151,0.28600000000000003,0.1472,4330.329345949303,0.9120300020966781,0
Kazakhstan,0.804,71000.0,0.2177,247207.0,182.75,0.028399999999999998,0.012,0.42,1.044,0.617,8.8,73.2,10.0,0.41,0.38799999999999996,3.25,0.688,0.11699999999999999,0.284,0.045899999999999996,9731.14520687936,0.5753999826076905,0
Kenya,0.485,29000.0,0.28750000000000003,17910.0,180.51,0.0349,0.078,0.95,1.032,0.115,30.6,66.3,342.0,0.25,0.334,0.16,0.747,0.151,0.37200000000000005,0.026400000000000003,1816.5469164371505,0.27507000469604986,0
Kuwait,0.084,25000.0,0.1394,98734.0,126.6,0.020800000000000003,0.004,0.35,0.924,0.544,6.7,75.4,12.0,0.95,0.14400000000000002,2.58,0.735,0.013999999999999999,0.13,0.021800000000000003,32031.980102603156,1.0,1
