"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2021","1,183.96","1,187.39","1,188.61","1,182.66","","-0.14%"
"09/20/2021","1,185.67","1,181.56","1,192.41","1,181.47","","0.42%"
"09/17/2021","1,180.69","1,175.36","1,182.81","1,174.23","","0.47%"
"09/16/2021","1,175.19","1,166.39","1,176.94","1,165.20","","0.77%"
"09/15/2021","1,166.23","1,172.41","1,174.70","1,164.77","","-0.51%"
"09/14/2021","1,172.23","1,173.44","1,175.20","1,166.38","","-0.05%"
"09/13/2021","1,172.83","1,170.38","1,177.53","1,170.02","","0.22%"
"09/10/2021","1,170.23","1,169.81","1,174.13","1,164.83","","0.05%"
"09/09/2021","1,169.64","1,167.14","1,172.21","1,166.05","","0.27%"
"09/08/2021","1,166.54","1,162.16","1,168.83","1,161.15","","0.39%"
"09/07/2021","1,161.98","1,157.33","1,166.02","1,155.00","","0.43%"
"09/06/2021","1,157.04","1,155.75","1,159.97","1,154.53","","0.24%"
"09/03/2021","1,154.28","1,158.23","1,159.71","1,152.54","","-0.33%"
"09/02/2021","1,158.05","1,156.08","1,162.44","1,155.05","","0.22%"
"09/01/2021","1,155.47","1,158.95","1,160.64","1,154.54","","-0.28%"
"08/31/2021","1,158.73","1,166.07","1,167.43","1,155.18","","-0.48%"
"08/30/2021","1,164.34","1,162.33","1,167.71","1,161.88","","0.27%"
"08/27/2021","1,161.23","1,170.71","1,174.77","1,160.89","","-0.79%"
"08/26/2021","1,170.53","1,164.05","1,172.01","1,162.97","","0.57%"
"08/25/2021","1,163.87","1,164.02","1,169.37","1,162.92","","0.02%"
"08/24/2021","1,163.65","1,169.06","1,171.57","1,163.10","","-0.49%"
"08/23/2021","1,169.36","1,175.24","1,177.56","1,167.43","","-0.49%"
"08/20/2021","1,175.15","1,176.46","1,184.85","1,171.21","","-0.10%"
"08/19/2021","1,176.28","1,170.28","1,178.40","1,169.66","","0.53%"
"08/18/2021","1,170.03","1,177.44","1,179.94","1,166.89","","-0.62%"
"08/17/2021","1,177.30","1,165.45","1,179.80","1,164.60","","1.03%"
"08/16/2021","1,165.28","1,162.37","1,168.81","1,161.46","","0.34%"
"08/13/2021","1,161.37","1,163.16","1,171.15","1,160.38","","-0.14%"
"08/12/2021","1,162.98","1,154.16","1,166.15","1,152.96","","0.78%"
"08/11/2021","1,153.98","1,152.90","1,159.69","1,151.89","","0.11%"
"08/10/2021","1,152.70","1,147.07","1,154.29","1,145.78","","0.51%"
"08/09/2021","1,146.89","1,145.93","1,148.86","1,142.35","","0.17%"
"08/06/2021","1,144.93","1,142.94","1,148.29","1,140.15","","0.20%"
"08/05/2021","1,142.59","1,144.94","1,146.84","1,140.62","","-0.19%"
"08/04/2021","1,144.76","1,148.63","1,149.72","1,140.02","","-0.32%"
"08/03/2021","1,148.44","1,150.35","1,153.91","1,146.59","","-0.15%"
"08/02/2021","1,150.18","1,151.90","1,154.60","1,148.52","","-0.11%"
"07/30/2021","1,151.41","1,143.30","1,154.78","1,142.04","","0.73%"
"07/29/2021","1,143.12","1,150.44","1,152.12","1,140.48","","-0.62%"
"07/28/2021","1,150.27","1,154.44","1,159.96","1,149.24","","-0.34%"
"07/27/2021","1,154.25","1,152.71","1,158.65","1,148.86","","0.15%"
"07/26/2021","1,152.54","1,152.12","1,157.24","1,151.26","","0.09%"
"07/23/2021","1,151.52","1,150.86","1,155.41","1,147.15","","0.08%"
"07/22/2021","1,150.55","1,149.48","1,153.12","1,146.85","","0.11%"
"07/21/2021","1,149.31","1,148.46","1,156.44","1,147.07","","0.16%"
"07/20/2021","1,147.47","1,151.92","1,153.07","1,146.55","","-0.29%"
"07/19/2021","1,150.83","1,142.50","1,155.59","1,141.85","","0.82%"
"07/16/2021","1,141.51","1,141.77","1,144.28","1,137.99","","-0.01%"
